epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.25108,1.45804,3.55181,1.85244,0.00406,0.9375,0.13769,0.08617,1.22089,3.40988,1.8631,0.00015,0.00015,0.00015
2,5.10957,1.28378,3.21858,1.67849,0.00619,0.9375,0.3084,0.18803,1.44897,3.39919,2.11429,0.000306312,0.000306312,0.000306312
3,6.7984,1.20567,2.86851,1.60907,0.71345,0.08333,0.3511,0.19892,1.5787,2.99306,2.25886,0.00045619,0.00045619,0.00045619
4,8.40868,1.30303,2.4311,1.70361,0.64463,0.26837,0.4223,0.26938,1.60678,2.68634,2.36229,0.000599632,0.000599632,0.000599632
5,9.99717,1.33568,2.43633,1.68554,0.46521,0.11806,0.31289,0.15288,1.77041,2.68935,2.6629,0.00073664,0.00073664,0.00073664
6,11.5532,1.36481,2.46013,1.70435,0.49266,0.4534,0.43985,0.23614,1.60983,2.3923,2.27244,0.000867213,0.000867213,0.000867213
7,13.2054,1.33368,2.29534,1.67937,0.52245,0.43995,0.42997,0.20499,1.6187,2.53261,2.29395,0.00099135,0.00099135,0.00099135
8,14.788,1.30187,2.32678,1.66861,0.67228,0.442,0.43639,0.1959,1.6613,3.02073,2.3298,0.00107675,0.00107675,0.00107675
9,16.3256,1.31934,2.32763,1.67351,0.15941,0.41171,0.20813,0.08726,1.68873,7.03613,2.36426,0.001052,0.001052,0.001052
10,17.8468,1.3047,2.19159,1.66345,0.14127,0.55,0.20454,0.09119,1.73065,8.05034,2.37036,0.00102725,0.00102725,0.00102725
11,19.3939,1.3098,2.12891,1.70006,0.44715,0.46667,0.34963,0.1703,1.83267,4.26117,2.4087,0.0010025,0.0010025,0.0010025
12,20.8999,1.28362,2.05446,1.65158,0.44132,0.61836,0.49997,0.25742,1.6651,2.32821,2.33701,0.00097775,0.00097775,0.00097775
13,22.4167,1.26187,2.01788,1.60294,0.55894,0.61036,0.57184,0.36512,1.73126,2.23096,2.39014,0.000953,0.000953,0.000953
14,23.9522,1.25669,1.94103,1.62105,0.54809,0.47778,0.50016,0.25312,1.71052,2.7104,2.43032,0.00092825,0.00092825,0.00092825
15,25.4719,1.2067,1.86037,1.63351,0.71079,0.50594,0.56458,0.28224,1.61524,2.62811,2.16908,0.0009035,0.0009035,0.0009035
16,26.9587,1.26832,1.84945,1.60537,0.54468,0.48459,0.56997,0.32356,1.65331,2.28116,2.15898,0.00087875,0.00087875,0.00087875
17,28.492,1.23623,1.91578,1.57221,0.60121,0.47878,0.54857,0.29089,1.64326,2.13814,2.2393,0.000854,0.000854,0.000854
18,29.9687,1.20248,1.76379,1.53444,0.58244,0.50423,0.54794,0.2104,1.81709,2.18145,2.4896,0.00082925,0.00082925,0.00082925
19,31.5009,1.25443,1.80352,1.60994,0.50423,0.46586,0.47177,0.20218,1.86565,2.64672,2.51618,0.0008045,0.0008045,0.0008045
20,33.0107,1.20829,1.69755,1.56088,0.63008,0.54722,0.61952,0.38718,1.68746,2.54,2.18848,0.00077975,0.00077975,0.00077975
21,34.5052,1.17154,1.59604,1.56269,0.65829,0.50763,0.57861,0.37108,1.79901,2.4546,2.37402,0.000755,0.000755,0.000755
22,36.0071,1.27084,1.75916,1.58773,0.63228,0.43233,0.54892,0.35165,1.72412,2.33638,2.30131,0.00073025,0.00073025,0.00073025
23,37.5373,1.29013,1.74289,1.6351,0.51631,0.57233,0.59941,0.34803,1.77614,2.15335,2.23209,0.0007055,0.0007055,0.0007055
24,39.0906,1.15903,1.65504,1.47176,0.50138,0.5761,0.5967,0.36159,1.71409,2.08757,2.2068,0.00068075,0.00068075,0.00068075
25,40.6446,1.09653,1.58695,1.4915,0.57389,0.66936,0.62037,0.34525,1.61033,2.04036,2.26794,0.000656,0.000656,0.000656
26,42.1102,1.04839,1.52697,1.46894,0.64015,0.6381,0.67042,0.3983,1.62391,1.88342,2.42972,0.00063125,0.00063125,0.00063125
27,43.606,1.11879,1.62304,1.47638,0.51162,0.70696,0.70316,0.44276,1.71765,1.77749,2.54807,0.0006065,0.0006065,0.0006065
28,45.1315,1.18357,1.60051,1.52707,0.68617,0.67461,0.71076,0.46104,1.53428,1.6369,2.20498,0.00058175,0.00058175,0.00058175
29,46.623,1.1489,1.63469,1.50104,0.7254,0.68056,0.7163,0.47517,1.57036,1.73859,2.23489,0.000557,0.000557,0.000557
30,48.1236,1.08294,1.5999,1.48415,0.67556,0.71336,0.71228,0.47973,1.50693,1.72093,2.18678,0.00053225,0.00053225,0.00053225
31,49.6168,1.06096,1.50549,1.41352,0.80122,0.59389,0.73106,0.43113,1.48991,1.72813,2.17698,0.0005075,0.0005075,0.0005075
32,51.0895,0.9826,1.47028,1.44777,0.78686,0.5376,0.70721,0.43792,1.50682,1.7598,2.22178,0.00048275,0.00048275,0.00048275
33,52.6309,1.06022,1.53332,1.46039,0.81204,0.56108,0.72548,0.45403,1.5886,1.69553,2.30837,0.000458,0.000458,0.000458
34,54.1038,1.06936,1.40398,1.44571,0.56953,0.85453,0.74299,0.45601,1.61254,1.62344,2.32432,0.00043325,0.00043325,0.00043325
35,55.6294,1.02192,1.48755,1.45788,0.59612,0.73777,0.6983,0.41468,1.65487,1.54596,2.29501,0.0004085,0.0004085,0.0004085
36,57.1801,0.96115,1.38542,1.39838,0.62312,0.73624,0.684,0.43263,1.6124,1.48154,2.29182,0.00038375,0.00038375,0.00038375
37,58.6966,0.95875,1.32233,1.3804,0.69153,0.69327,0.71617,0.45725,1.62996,1.50993,2.29855,0.000359,0.000359,0.000359
38,60.1969,0.97848,1.29541,1.35017,0.63656,0.69451,0.70815,0.42834,1.59998,1.54247,2.22425,0.00033425,0.00033425,0.00033425
39,61.6832,1.01209,1.34605,1.39695,0.63606,0.73047,0.67832,0.40758,1.53692,1.53522,2.16695,0.0003095,0.0003095,0.0003095
40,63.2305,0.99796,1.38046,1.39708,0.58459,0.725,0.66049,0.4033,1.54646,1.5244,2.16636,0.00028475,0.00028475,0.00028475
41,93.765,0.82854,1.60079,1.3777,0.57193,0.69983,0.69758,0.41503,1.54028,1.55964,2.12375,0.00026,0.00026,0.00026
42,95.3534,0.90895,1.65894,1.43956,0.51873,0.6888,0.66332,0.39,1.54526,1.5534,2.13974,0.00023525,0.00023525,0.00023525
43,96.8396,0.81561,1.63036,1.36876,0.71956,0.63871,0.64837,0.40916,1.62029,1.52704,2.2374,0.0002105,0.0002105,0.0002105
44,98.3391,0.78714,1.594,1.35597,0.69833,0.65833,0.64336,0.43693,1.61385,1.54657,2.25413,0.00018575,0.00018575,0.00018575
45,99.8102,0.7772,1.50848,1.29587,0.71568,0.675,0.64567,0.442,1.61373,1.53588,2.25875,0.000161,0.000161,0.000161
46,101.313,0.79711,1.45632,1.31521,0.75889,0.72825,0.69763,0.44002,1.57575,1.60801,2.22845,0.00013625,0.00013625,0.00013625
47,102.778,0.72523,1.47725,1.30878,0.76714,0.72996,0.70745,0.43106,1.57348,1.68982,2.22068,0.0001115,0.0001115,0.0001115
48,104.259,0.72812,1.36624,1.28753,0.77172,0.72951,0.72707,0.4467,1.56425,1.69572,2.21231,8.675e-05,8.675e-05,8.675e-05
49,105.731,0.73211,1.36987,1.32995,0.74186,0.72923,0.72687,0.45837,1.52643,1.73921,2.16405,6.2e-05,6.2e-05,6.2e-05
50,107.176,0.70454,1.30264,1.25564,0.74025,0.73054,0.72746,0.4594,1.52071,1.75301,2.16605,3.725e-05,3.725e-05,3.725e-05
